date,close,high,low,open,volume,vix
2023/1/3,3824.139893,3878.459961,3794.330078,3853.290039,3959140000,22.9
2023/1/4,3852.969971,3873.159912,3815.77002,3840.360107,4414080000,22.01
2023/1/5,3808.100098,3839.73999,3802.419922,3839.73999,3893450000,22.46
2023/1/6,3895.080078,3906.189941,3809.560059,3823.370117,3923560000,21.13
2023/1/9,3892.090088,3950.570068,3890.419922,3910.820068,4311770000,21.97
2023/1/10,3919.25,3919.830078,3877.290039,3888.570068,3851030000,20.58
2023/1/11,3969.610107,3970.070068,3928.540039,3932.350098,4303360000,21.09
2023/1/12,3983.169922,3997.76001,3937.560059,3977.570068,4440260000,18.83
2023/1/13,3999.090088,4003.949951,3947.669922,3960.600098,3939700000,18.35
2023/1/17,3990.969971,4015.389893,3984.570068,3999.280029,4235560000,19.36
2023/1/18,3928.860107,4014.159912,3926.590088,4002.25,4298710000,20.34
2023/1/19,3898.850098,3922.939941,3885.540039,3911.840088,3991500000,20.52
2023/1/20,3972.610107,3972.959961,3897.860107,3909.040039,4013360000,19.85
2023/1/23,4019.810059,4039.310059,3971.639893,3978.139893,3945210000,19.81
2023/1/24,4016.949951,4023.919922,3989.790039,4001.73999,3320430000,19.2
2023/1/25,4016.219971,4019.550049,3949.060059,3982.709961,3724020000,19.08
2023/1/26,4060.429932,4061.570068,4013.290039,4036.080078,3809590000,18.73
2023/1/27,4070.560059,4094.209961,4048.699951,4053.719971,3907760000,18.51
2023/1/30,4017.77002,4063.850098,4015.550049,4049.27002,3802000000,19.94
2023/1/31,4076.600098,4077.159912,4020.439941,4020.850098,4679320000,19.4
2023/2/1,4119.209961,4148.950195,4037.199951,4070.070068,4856930000,17.87
2023/2/2,4179.759766,4195.439941,4141.879883,4158.680176,5624360000,18.73
2023/2/3,4136.47998,4182.359863,4123.359863,4136.689941,4694510000,18.33
2023/2/6,4111.080078,4124.629883,4093.379883,4119.569824,4114240000,19.43
2023/2/7,4164,4176.540039,4088.389893,4105.350098,4355860000,18.66
2023/2/8,4117.859863,4156.850098,4111.669922,4153.470215,4029820000,19.63
2023/2/9,4081.5,4156.22998,4069.669922,4144.25,4270200000,20.71
2023/2/10,4090.459961,4094.360107,4060.790039,4068.919922,3891520000,20.53
2023/2/13,4137.290039,4138.899902,4092.669922,4096.620117,3448620000,20.34
2023/2/14,4136.129883,4159.77002,4095.01001,4126.700195,3929200000,18.91
2023/2/15,4147.600098,4148.109863,4103.97998,4119.5,4075980000,18.23
2023/2/16,4090.409912,4136.540039,4089.48999,4114.75,4143660000,20.17
2023/2/17,4079.090088,4081.51001,4047.949951,4077.389893,4045480000,20.02
2023/2/21,3997.340088,4052.350098,3995.189941,4052.350098,4121590000,22.87
2023/2/22,3991.050049,4017.370117,3976.899902,4001.830078,4079320000,22.29
2023/2/23,4012.320068,4028.300049,3969.189941,4018.600098,3952940000,21.14
2023/2/24,3970.040039,3978.25,3943.080078,3973.23999,3877700000,21.67
2023/2/27,3982.23999,4018.050049,3973.550049,3992.360107,3836950000,20.95
2023/2/28,3970.149902,3997.5,3968.97998,3977.189941,5043400000,20.7
2023/3/1,3951.389893,3971.72998,3939.050049,3963.340088,4249480000,20.58
2023/3/2,3981.350098,3990.840088,3928.159912,3938.679932,4244900000,19.59
2023/3/3,4045.639893,4048.290039,3995.169922,3998.02002,4084730000,18.49
2023/3/6,4048.419922,4078.48999,4044.610107,4055.149902,4000870000,18.61
2023/3/7,3986.370117,4050,3980.310059,4048.26001,3922500000,19.59
2023/3/8,3992.01001,4000.409912,3969.76001,3987.550049,3535570000,19.11
2023/3/9,3918.320068,4017.810059,3908.699951,3998.659912,4445260000,22.61
2023/3/10,3861.590088,3934.050049,3846.320068,3912.77002,5518190000,24.8
2023/3/13,3855.76001,3905.050049,3808.860107,3835.120117,6558020000,26.52
2023/3/14,3919.290039,3937.290039,3873.629883,3894.01001,5665870000,23.73
2023/3/15,3891.929932,3894.26001,3838.23999,3876.73999,6594010000,26.14
2023/3/16,3960.280029,3964.459961,3864.110107,3878.929932,5695790000,22.99
2023/3/17,3916.639893,3958.909912,3901.27002,3958.689941,9354280000,25.51
2023/3/20,3951.570068,3956.620117,3916.889893,3917.469971,5347140000,24.15
2023/3/21,4002.870117,4009.080078,3971.189941,3975.889893,4920240000,21.38
2023/3/22,3936.969971,4039.48999,3936.169922,4002.040039,4533010000,22.26
2023/3/23,3948.719971,4007.659912,3919.050049,3959.209961,4991600000,22.61
2023/3/24,3970.98999,3972.73999,3909.159912,3939.209961,4583970000,21.74
2023/3/27,3977.530029,4003.830078,3970.48999,3982.929932,4233540000,20.6
2023/3/28,3971.27002,3979.199951,3951.530029,3974.129883,4014600000,19.97
2023/3/29,4027.810059,4030.590088,3999.530029,3999.530029,4145250000,19.12
2023/3/30,4050.830078,4057.850098,4032.100098,4046.73999,3930860000,19.02
2023/3/31,4109.310059,4110.75,4056.179932,4056.179932,4525120000,18.7
2023/4/3,4124.509766,4127.660156,4098.790039,4102.200195,4234700000,18.55
2023/4/4,4100.600098,4133.129883,4086.870117,4128.029785,4227800000,19
2023/4/5,4090.379883,4099.689941,4072.560059,4094.5,3968020000,19.08
2023/4/6,4105.02002,4107.319824,4069.840088,4081.149902,3486690000,18.4
2023/4/10,4109.109863,4109.5,4072.550049,4085.199951,3423650000,18.97
2023/4/11,4108.939941,4124.259766,4102.609863,4110.290039,3665830000,19.1
2023/4/12,4091.949951,4134.370117,4086.939941,4121.720215,3633120000,19.09
2023/4/13,4146.220215,4150.259766,4099.399902,4100.040039,3596590000,17.8
2023/4/14,4137.640137,4163.189941,4113.200195,4140.109863,3575690000,17.07
2023/4/17,4151.319824,4151.720215,4123.180176,4137.169922,3611180000,16.95
2023/4/18,4154.870117,4169.47998,4140.359863,4164.259766,3536640000,16.83
2023/4/19,4154.52002,4162.569824,4134.490234,4139.330078,3572560000,16.46
2023/4/20,4129.790039,4148.569824,4114.569824,4130.47998,3772080000,17.17
2023/4/21,4133.52002,4138.02002,4113.859863,4132.140137,3611750000,16.77
